-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
August,23,839,936,986,36.9,1.05,1.34,1.54,0.12,1.41,1.62,1.79,0.09
August,24,900,"1,009","1,070",42.7,1.17,1.46,1.64,0.12,1.55,1.75,1.92,0.10
September,Monthly Average,764,"1,001","1,341",131.2,0.90,1.32,1.95,0.22,1.16,1.59,2.34,0.26
September,1,"1,018","1,163","1,306",65.4,1.23,1.55,1.80,0.15,1.62,1.87,2.26,0.17
September,2,"1,077","1,201","1,315",61.2,1.28,1.61,1.85,0.15,1.71,1.94,2.27,0.16
September,3,"1,090","1,221","1,338",59.6,1.37,1.65,1.95,0.16,1.76,1.97,2.28,0.16
September,4,"1,093","1,217","1,341",64.2,1.34,1.64,1.91,0.16,1.73,1.97,2.34,0.17
September,5,"1,076","1,181","1,320",67.2,1.28,1.59,1.91,0.17,1.65,1.90,2.30,0.18
September,6,993,"1,103","1,282",76.0,1.18,1.46,1.79,0.18,1.53,1.77,2.23,0.19
September,7,890,"1,006","1,199",82.5,1.04,1.32,1.69,0.18,1.34,1.60,2.08,0.20
September,8,853,959,"1,124",77.6,1.03,1.26,1.64,0.17,1.30,1.52,1.94,0.18
September,9,852,937,"1,078",63.2,1.01,1.22,1.50,0.14,1.29,1.48,1.85,0.15
September,10,846,920,"1,051",53.8,1.00,1.19,1.41,0.12,1.28,1.45,1.78,0.14
September,11,833,912,"1,036",50.7,0.98,1.18,1.38,0.11,1.28,1.43,1.75,0.13
September,12,807,911,"1,031",50.6,0.96,1.18,1.38,0.11,1.24,1.43,1.74,0.12
September,13,793,910,"1,031",50.4,0.95,1.18,1.40,0.11,1.23,1.42,1.76,0.13
September,14,789,908,"1,032",53.4,0.94,1.18,1.40,0.11,1.22,1.42,1.76,0.13
September,15,790,908,"1,032",54.0,0.94,1.18,1.41,0.11,1.22,1.42,1.77,0.13
September,16,791,911,"1,034",55.4,0.94,1.18,1.40,0.11,1.22,1.43,1.77,0.13
September,17,791,913,"1,032",55.2,0.95,1.19,1.39,0.11,1.22,1.43,1.76,0.13
